Rank,Song,Streams (Billions),Artist,Release Date
1,Shape of You,"3,327",Ed Sheeran,06 01 2017
2,Blinding Lights,"3,323",The Weeknd,29 11 2019
3,Dance Monkey,"2,721",Tones And I,10 05 2019
4,Someone You Loved,"2,588",Lewis Capaldi,08 11 2018
5,Rockstar,"2,570",Post Malone featuring 21 Savage,15 09 2017
6,Sunflower,"2,502",Post Malone and Swae Lee,18 10 2018
7,One Dance,"2,491",Drake featuring Wizkid and Kyla,05 04 2016
8,Closer,"2,430",The Chainsmokers featuring Halsey,29 07 2016
9,Believer,"2,326",Imagine Dragons,01 02 2017
10,Señorita,"2,305",Shawn Mendes and Camila Cabello,21 06 2019
11,Stay,"2,295",The Kid Laroi and Justin Bieber,09 07 2021
12,Perfect,"2,267",Ed Sheeran,03 03 2017
13,Say You Won't Let Go,"2,193",James Arthur,09 09 2016
14,Heat Waves,"2,190",Glass Animals,29 06 2020
15,Bad Guy,"2,181",Billie Eilish,29 03 2019
16,Thinking Out Loud,"2,131",Ed Sheeran,20 06 2014
17,Lucid Dreams,"2,119",Juice WRLD,04 05 2018
18,Starboy,"2,110",The Weeknd featuring Daft Punk,21 09 2016
19,Don't Start Now,"2,100",Dua Lipa,01 11 2019
20,God's Plan,"2,079",Drake,19 01 2018
21,Lovely,"2,059",Billie Eilish and Khalid,19 04 2018
22,Watermelon Sugar,"2,052",Harry Styles,15 05 2020
23,Photograph,"2,036",Ed Sheeran,20 06 2014
24,Bohemian Rhapsody,"2,006",Queen,31 10 1975
25,Something Just Like This,"1,999",The Chainsmokers and Coldplay,22 02 2017
26,Shallow,"1,970",Lady Gaga and Bradley Cooper,27 09 2018
27,Love Yourself,"1,948",Justin Bieber,09 11 2015
28,SAD!,"1,947",XXXTentacion,01 03 2018
29,Circles,"1,928",Post Malone,30 08 2019
30,Take Me to Church,"1,916",Hozier,13 09 2013
31,All of Me,"1,915",John Legend,12 08 2013
32,Sweater Weather,"1,899",The Neighbourhood,28 03 2012
33,Thunder,"1,874",Imagine Dragons,27 04 2017
34,7 Rings,"1,868",Ariana Grande,18 01 2019
35,Goosebumps,"1,863",Travis Scott featuring Kendrick Lamar,02 09 2016
36,Jocelyn Flores,"1,861",XXXTentacion,31 10 2017
37,Havana,"1,834",Camila Cabello featuring Young Thug,03 08 2017
38,XO Tour Llif3,"1,808",Lil Uzi Vert,24 03 2017
39,Stressed Out,"1,808",Twenty One Pilots,28 04 2015
40,New Rules,"1,789",Dua Lipa,02 06 2017
